latitude,longitude,acq_datetime,frp,satellite,confidence,daynight,source,weight
42.0727,-83.6345,2026-07-31T06:43:00Z,0.85,N,n,N,VIIRS_SNPP_NRT,1
41.2087,-80.8183,2026-07-31T06:43:00Z,0.81,N,n,N,VIIRS_SNPP_NRT,1
41.7494,-81.2839,2026-07-31T06:43:00Z,0.85,N,n,N,VIIRS_SNPP_NRT,1
41.6781,-87.4216,2026-07-31T06:43:00Z,11.2,N,n,N,VIIRS_SNPP_NRT,1
41.6706,-87.4606,2026-07-31T06:43:00Z,4.37,N,n,N,VIIRS_SNPP_NRT,1
41.6699,-87.4564,2026-07-31T06:43:00Z,1.88,N,n,N,VIIRS_SNPP_NRT,1
41.6699,-87.4662,2026-07-31T06:43:00Z,3.27,N,n,N,VIIRS_SNPP_NRT,1
41.6698,-87.4857,2026-07-31T06:43:00Z,1.97,N,n,N,VIIRS_SNPP_NRT,1
41.6409,-87.4082,2026-07-31T06:43:00Z,2.2,N,n,N,VIIRS_SNPP_NRT,1
41.5705,-84.0536,2026-07-31T06:43:00Z,2.16,N,n,N,VIIRS_SNPP_NRT,1
41.7483,-81.286,2026-07-31T06:43:00Z,0.43,N,n,N,VIIRS_SNPP_NRT,1
45.075,-83.407,2026-07-31T06:42:00Z,1.68,N,n,N,VIIRS_SNPP_NRT,1
45.0689,-83.4072,2026-07-31T06:42:00Z,1.68,N,n,N,VIIRS_SNPP_NRT,1
45.0704,-83.4051,2026-07-31T06:42:00Z,3.41,N,n,N,VIIRS_SNPP_NRT,1
45.3028,-74.9939,2026-07-31T06:42:00Z,0.47,N,n,N,VIIRS_SNPP_NRT,1
45.7808,-73.9122,2026-07-31T06:42:00Z,0.78,N,n,N,VIIRS_SNPP_NRT,1
45.8358,-73.2537,2026-07-31T06:42:00Z,1.53,N,n,N,VIIRS_SNPP_NRT,1
45.8389,-73.2462,2026-07-31T06:42:00Z,2.98,N,n,N,VIIRS_SNPP_NRT,1
45.8396,-73.2529,2026-07-31T06:42:00Z,2.17,N,n,N,VIIRS_SNPP_NRT,1
51.3507,-83.4852,2026-07-31T06:41:00Z,2.22,N,n,N,VIIRS_SNPP_NRT,1
51.3486,-83.4863,2026-07-31T06:41:00Z,2.85,N,n,N,VIIRS_SNPP_NRT,1
51.3486,-83.4784,2026-07-31T06:41:00Z,2.03,N,n,N,VIIRS_SNPP_NRT,1
51.3423,-83.4944,2026-07-31T06:41:00Z,2.22,N,n,N,VIIRS_SNPP_NRT,1
51.3423,-83.4864,2026-07-31T06:41:00Z,2.22,N,n,N,VIIRS_SNPP_NRT,1
49.5737,-72.3207,2026-07-31T06:41:00Z,1.33,N,n,N,VIIRS_SNPP_NRT,1
49.5699,-72.3216,2026-07-31T06:41:00Z,1.5,N,n,N,VIIRS_SNPP_NRT,1
48.2539,-79.0231,2026-07-31T06:41:00Z,3.77,N,n,N,VIIRS_SNPP_NRT,1
48.2524,-79.0242,2026-07-31T06:41:00Z,3.82,N,n,N,VIIRS_SNPP_NRT,1
35.3143,129.1705,2026-07-31T06:10:00Z,15.21,Aqua,38,D,MODIS_NRT,1
